Artist,Song Title,Lyrics,Year,Artists Collaborated,Year Collaborated
Brian Hyland,Sealed With A Kiss,Intro  Though we gotta say goodbye for the summer Darling I promise you this I'll send you all my love every day in a letter Sealed with a kiss  Yes it's gonna be a cold lonely summer But I'll fill the emptiness I'll send you all my dreams every day in a letter Sealed with a kiss  I'll see you in the sunlight I'll hear your voice everywhere I'll run to tenderly hold you But darling you won't be there  I don't want to say goodbye for the summer Knowing the love we'll miss Oh let us make a pledge to meet in September And seal it with a kiss  Yes it's gonna be a cold lonely summer But I'll fill the emptiness I'll send you all my love every day in a letter Sealed with a kiss Sealed with a kiss Sealed with a kiss,1962,Del Shannon,1964
Connie Francis,Don't Break The Heart That Loves You,"(Don't break the heart that loves you so)  Don't break the heart that loves you Handle it with care Don't break the heart that needs you Darling, please be fair  Why do you flirt and constantly hurt me? Why do you treat our love so carelessly?  You know I'm jealous of you And yet you seem to try To go out of your way To be unkind  Sweetheart, I'm begging of you Don't break this heart that loves you Don't break this heart of mine  Darling, please don't hurt me Please, don't make me cry I don't know what I'd do if you'd ever say goodbye Remember, I love you so much And love is life's greatest joy Please don't break my heart like a child breaks a little toy  Sweetheart, I'm begging of you Don't break this heart that loves you Don't break this heart of mine",1962,Hank Williams,1962
Gary U.S. Bonds,Dear Lady Twist,"Get up from your chair Get up from your chair...  Darling, may I have The pleasure of having This next twist with you I dont know how to twist You dont know how to twist No, well, let me tell you  Well now, there's a new dance That's known as the twist It's really not new It's something you've missed  But there's a new dance That's known as the twist It's really not new It's something you've missed  Dear lady (Get up from your chair) Dear, dear lady (Get up from your chair)  Well, now, doctors agree  So I've been told Do the twist and You'll never grow old  Well, one night I happened On a go-go dance Believing I'd find Me some romance  And this old lady I happened to see I said, come on, baby Do the twist with me  Dear lady (Get up from your chair) Oh, dear lady (Get up from your chair)  Well, now, doctors agree So I've been told Do the twist and You'll never grow old  Get up and do the twist now Yeah, oh, yeah  Well, I said, I'd love to Dance from now until dawn She said, thank you, baby But I'm almost gone  I said, now the rhythm Is getting real sweet This is no time to Slow up your feet  Dear lady (Get up from your chair) Dear, dear lady (Get up from your chair)  Well, now, doctors agree So I've been told Do the twist and You'll never grow old  You gotta do the twist You gotta do the twist",1962,Bruce Springsteen,1981
Sue Thompson,Norman,"Norman , ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh Norman, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm Norman, Norman, my love Jimmy called me on the phone but I was gone, not at home 'cause I was out parked all alone with darlin' Norman Bill invited me to a show but I said no, cannot go There's a dress that I've got to sew and wear for Norman Norman holds me close to him, Norman kisses me and then Norman knows my heart belongs to him and him and only him, oh Norman, ooh, ooh, ooh, ooh, ooh, ooh ohh, ooh, ooh, ooh Norman, ooh, ooh, ooh, ooh, ooh, ooh ohh, ooh, ooh, ooh Norman, Norman, my love Joey asked me for a date, he wanted to take me out to skate But I told Joey he would have to make 'rangements with Norman Norman is my only love, Norman's all I'm thinking of Norman gives me all his lovin', kissin', huggin', lovey-dovin' Norman, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh Norman, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm Norman, Norman, my love",1962,Ray Stevens,1962
Ketty Lester,Love Letters,"Love letters straight from your heart Keep us so near while apart I'm not alone in the night When I can have all the love you write  I memorize every line And I kiss the name that you sign And, darling, then I read again right from the start Love letters straight from your heart  I memorize every line And I kiss the name that you sign And, darlin', then I read again right from the start Love letters straight from your heart",1962,Nat King Cole,1962
Claudine Clark,Party Lights,"(Party lights, I see the party lights) Wo (They're red and blue and green) Lights (Everybody in the crowd's there) Mama, I wanna go, go, go, go, go, go, yeah, yeah  Well, mama dear, tell me, do you hear? We're partying tonight I tell you, I can't sleep because across the street Wo, oh, I see the party lights  I see the lights, I see the party lights They're red and blue and green Everybody in the crowd's there But you won't let me make a scene  Well, mama dear Look here, oh, dear There goes Mary Lou I see Tommy and Joe  Oh, oh, and Betty Sue Oh, oh, and there goes my boyfriend too I see the lights  I see the lights, I see the party lights They're red and blue and green Everybody in the crowd's there But you won't let me make a scene  Listen to the party, mama  Well, mama dear Look here, oh, dear I'm feeling, oh, so blue They're doin' the twist, the fish  The mashed potatoes too I fear, I'm lookin' at you I see the lights  I see the lights, I see the party lights They're red and blue and green Everybody in the crowd's there But you won't let me make a scene  They're doin' the fish, they're doin' the twist The watusi, the mashed potatoes I see the lights, I see the lights They're doin' the bop, I wanna go",1962,The Beatles,1964
Highwaymen,Cotton Fields,"When I was a little bitty baby My mama would rock me in the cradle In them old cotton fields back home When I was a little bitty baby My mama would rock me in the cradle In them old cotton fields back home  Oh, when them cotton balls get rotten You can't pick very much cotton In them old cotton fields back home It was down in Louisiana Just about a mile from Texarkana And them old cotton fields back home  It may sound a little funny But you didn't make very much money In them old cotton fields back home It may sound a little funny But you didn't make very much money In them old cotton fields back home  Oh, when them cotton balls get rotten You can't pick very much cotton In them old cotton fields back home It was down in Louisiana Just about a mile from Texarkana And them old cotton fields back home  When I was a little bitty baby My mama would rock me in the cradle In them old cotton fields back home When I was a little bitty baby My mama would rock me in the cradle In them old cotton fields back home In them old cotton fields back home",1962,Willie Nelson,1990
Bent Fabric,Alley Cat,"When i find myself in times of trouble Mother mary comes to me Speaking words of wisdom, let it be And in my hour of darkness She is standing right in front of me Speaking words of wisdom, let it be Let it be, let it be Let it be, let it be Whisper words of wisdom, let it be And when the broken hearted people Living in the world agree There will be an answer, let it be For though they may be parted There is still a chance that they will see There will be an answer, let it be Let it be, let it be Let it be, let it be There will be an answer, let it be Let it be, let it be Let it be, let it be There will be an answer, let it be And when the night is cloudy There is still a light that shines on me Shine on until tomorrow, let it be When i wake up to the sound of music Mother mary comes to me Speaking words of wisdom, let it be, let it be Let it be, let it be Let it be, let it be Whisper words of wisdom, let it be Let it be, oh let it be Let it be, let it be Let it be, let it be Whisper words of wisdom, let it be When i find myself in times of trouble Mother mary comes to me Speaking words of wisdom, let it be Let it be, let it be Let it be, let it be Whisper words of wisdom, let it be...(x8)",1962,Timbaland,2007
Isley Brothers,Twist And Shout,"[Verse 1] Shake it up baby now (Shake it up baby) Twist and shout (Come on and twist and shout) Come on baby now (Come on baby) Come on and work it on out (Come on work it on out) Well work it on out, honey (Work it on out) Yeah, you look so good (You know you look so fine) Child, you know you got me goin' (You know you got me goin') Just like I knew you would (Just like I knew you would) Woooo (Woooo)  [Verse 2] Shake it up baby (Shake it up baby) Twist and shout (Come on and twist and shout) Come on come on come on baby now (Come on baby) Come on and work it on out (Come on work it on out) Well, listen little girl (Listen little girl) You know you twist so fine (You know you twist so fine) Come on and twist a little closer (Come on and twist a little closer) Come on and show me that you're mine (Come on and show me you're mine) Yeah! (Wooooo) Yeah!  [Horns breakdown]  [Bridge] Aaaaaaaah Aaaaaaaah Aaaaaaaah Aaaaaaaah Aaaaaaaah  [Verse 3] Shake it up baby now (Shake it up baby) Shake it up baby (Come on and twist and shout) Shake it up baby (Shake it up baby) Come on and work it on out (Oh twist and shout) Come on baby shake it shake it shake it (Oh come on baby) Shake it shake it shake it baby (Oh twist and shout) Shake it shake it shake it baby (Shake it up baby) Work it on out (Come on and work it on out) (Wooooooo)  [Outro] Shake it shake it baby (Shake it up baby) Shake it shake it baby (Shake it up baby) Shake it shake it certainly! (Shake it up baby) Prrrrrr shake it baby (Shake it up baby) Prrrrrr (woooooo) prrrrrrr prrrrrrr (Shake it up baby) Prrrrrrrrrrr prrrrrrr prrrrrrr Prrrrrrrrrrr",1962,R. Kelly,1996
Richard Chamberlain,Theme From Dr. Kildare,"Three stars will shine tonight, one for the lonely That star will shine its light each time that someone sighs Three stars for all to see, one for young lovers That star was made to be the sparkle in their eyes And, for the third star, only one reason A star you can wish on to make dreams come true High in the sky above, three stars are shining I hope that star of love will shine down on you",1962,Shirley Jones,1963
Ace Cannon,Tuff,"When you say it's dead and gone, yes, I know you're wrong Cut and slash, sharpest knife, it won't die Poison cup, drank it up, it won't die No fire, no gun, no rope, no stone, it won't die Why you gotta shove it in my face? As if you put me in my place 'Cause I don't care if you or me is wrong or right Ain't gonna spend another night in your bed, in your bed Laws of man, are just pretend, they ain't mine Love so good, love so bad, it won't die Some talk too long, they know it all, I just smile and move on Words ain't free like you and me, I don't mind Why'd you have to be so mean and cruel? The dogs are loose I'm on to you You ball and chained together from the dawn to dusk Can't call it leavin', 'cause it's just, I never came I never came, I never came, I never came I never came, I never came, I never came",1962,Elvis Presley,1964
Clyde Mcphatter,"Lover, Please","Lover please, please come back Don't take a train comin' down the track Don't, please don't, don't leave me Don't leave me in misery  You would never hold me so near You would never call me ""Dear"" Dontcha know I'd die for you? Now you're gone, that's what I'll do  Lover please, please come back Don't take a train comin' down the track Don't, please don't, don't leave me Don't leave me in misery  All those stories, not too long About a love that went all wrong The girl left the boy, just as bad Now she's gone, she's so sad  Lover please, please come back Don't take a train comin' down the track Don't, please don't, don't leave me Don't leave me in misery  You would never hold me so near You would never have called me ""Dear"" Dontcha know I'd die for you? Now you're gone, that's what I'll do  Lover please, please come back Don't take a train comin' down the track Don't, please don't, don't leave me Don't leave me in misery",1962,Billy Ward and His Dominoes,1953
Barbara George,I Know,"I know, you don't love me no more (I know) No more, no, no more (No more) And I don't want to be hurt anymore (No more) Anymore (No more)  Yeah, yeah, I have loved so hard Everything I did was no [unverified] If I can't love you right, baby I don't have to love you at all  I know, you don't want me no more (I know) No more, no, no more (No more) And it has to be someone else loving you more (No more) Loving you more (No more)  Ain't no use in me crying now If not for you, I wouldn't be down Don't want me no more, baby Ain't no use in you hanging 'round  I know, no more, no more No more, no more I know, you don't want me no more (I know) No more, no, no more (No more)  And it has to be someone else loving you more (No more) Loving you more (No more)  Ain't no use in me crying now If not for you, I wouldn't be down Don't want me no more, baby Ain't no use in you hanging 'round I know, I know (I know, I know)",1962,Fats Domino,1959
Rick Nelson,Young World,"It's a young world When you're in love, you're in a young world So take my hand and let me show you Just how true young love can be And whoa-uh-oh  It's a young world And if you'll tell me you're my one girl You'll make my whole life worth livin' Just by givin' your love to me  All of the world is a treasure When you have someone to care Promise me your love for-e-ver We'll have the whole world to sh-a-are  And it's a young world When you're in love, you' re in a young world If you believe what I've told you Let me hold you, say you love me  All of the world is a treasure When you have someone to care Promise me your love for-e-ver We'll have the whole world to sh-a-are  And it's a young world When you're in love, you' re in a young world If you believe what I've told you Let me hold you, say you love me  It's a young world, whoa-oh-oh It's a young world, whoa-oh-oh (Fade) It's a young world, ooh-ahh-ooh-ooh (young world, young world)",1962,James Burton,1970
Shirelles,Baby It's You,"[Intro] Sha la la la la la la la Sha la la la la la la la Sha la la la la la la la Sha la la la la  [Verse 1] It's not the way you smile that touched my heart (Sha la la la la) It's not the way you kiss that tears me apart  [Chorus] Woh oh oh, many, many, many nights go by I sit alone at home and I cry over you What can I do? I can't help myself 'Cause baby, it's you (Sha la la la la la la) Baby, it's you (Sha la la la la la) (Sha la la la la)  [Verse 2] You should hear what they say about you, ""cheat,"" ""cheat."" They say, they say you never never never  been true (Cheat cheat)  [Chorus] Uh oh It doesn't matter what they say I know I'm gonna love you any old way What can I do, when it's true I don't want nobody, nobody 'Cause baby, it's you (Sha la la la la la la) Baby, it's you (Sha la la la la la la)  [Instrumental verse - Organ solo]  [Chorus] Woh oh oh, many, many, many nights go by I sit alone at home and I cry over you What can I do? I can't help myself 'Cause baby, it's you (Sha la la la la la) Baby, it's you (Sha la la la la la la)  [Outro] Don't leave me alone (Sha la la la la la) Come on home (Sha la la la la la) Baby, it's you (Sha la la la la la)",1962,Dionne Warwick,1967
Pat Boone,Speedy Gonzales,"It was a moonlit night in Old Mexico I walked alone between some old adobe haciendas Suddenly, I heard the plaintive cry of a young Mexican girl:  La la la, la la la la la la la la, la la la la la la la la, la la la la La la la la  You better come home Speedy Gonzales Away from tannery row Stop all of your drinking With that floozy named Flo! Come on home to your adobe And slap some mud on the wall! The roof is leaking like a strainer There's loads of roaches in the Hall (La la la la)  Speedy Gonzales (Speedy Gonzales) Why don't you come home? Speedy Gonzales (Speedy Gonzales) How come you leave me all alone?  ""He, Rosita, I have to go shopping downtown for my mother She needs some Tortillias and Chilli Pepper!""  La, la la la la la la la la, la la la la la la la la, la la la la la la La la  Your doggie's gonna have a puppy And we're running out of Coke No enchiladas in the icebox And the television's broke I saw some lipstick on your sweatshirt I smell some perfume in your ear Well, if you're gonna keep on messin' Don't bring your business back a-here (La la la la)  Mmm, Speedy Gonzales (Speedy Gonzales) Why don't you come home? Speedy Gonzales (Speedy Gonzales) How come you leave me all alone?  ""He, Rosita, come quick! Down at the cantina They're giving green stamps with Tequila!""  La, la la la la la la la la, la la la la la la la la, la la la la la la La la La la la la, la la la la la la la la, la la la la la la la la, la la la La la la la la  SPOKEN: It was a moonlit night in old Mexico....",1962,Frankie Avalon,1959
Everly Brothers,Crying In The Rain,I'll never let you see The way my broken heart is hurtin' me I've got my pride and I know how to hide All my sorrow and pain I'll do my cryin' in the rain  If I wait for cloudy skies You won't know the rain from the tears in my eyes You'll never know that I still love you so Though the heartaches remain I'll do my cryin' in the rain  Rain drops fallin' from heaven Could never wash away my misery But since we're not together I look for stormy weather To hide these tears I hope you'll never see  Some day when my cryin's done I'm gonna wear a smile and walk in the sun I may be a fool but till then darling you'll Never see me complain I'll do my cryin' in the rain  I'll do my cryin' in the rain I'll do my cryin' in the rain,1962,Paul McCartney,1984
Burl Ives,A Little Bitty Tear,"A little bitty tear let me down, spoiled my act as a clown I had it made up not make a frown, but a little bitty tear let me down  You said you were leaving tomorrow That today was our last day I said there'd be no sorrow, that I'd laugh when you walked away  A little bitty tear let me down, spoiled my act as a clown I had it made up not make a frown, but a little bitty tear let me down  I said I'd laugh when you left me Pull a funny as you went out the door That I'd have another waiting And I'd wave goodbye as you go  A little bitty tear let me down, spoiled my act as a clown I had it made up not make a frown, but a little bitty tear let me down  Everything went like a planned it And really put on quite a show In my heart I felt I could stand it Till you walked with your *grip* through the door A little bitty tear let me down, spoiled my act as a clown I had it made up not make a frown, but a little bitty tear let me down  A little bitty tear let me down",1962,Johnny Cash,1968
Ernie Maresca,Shout! Shout! (Knock Yourself Out),"SHOUT! SHOUT! (KNOCK YOURSELF OUT) Ernie Maresca Wop wop wop, wop wop adada dada Wop wop wop, wop wop adada dada Wop wop wop, wop wop adada dada Wop wop wop, wop wop adada dada Shout Shout knock yourself out.. Comeon yell yell loud and swell You gotta Scream scream you know what I mean Put another dime in the record machine.. Hey we're having a party now it's just begun We're all over here and we're having fun.. Joe's all alone and he wants to be kissed While Mary's in the corner and she's doing the twist.. So Let's Shout Shout knock yourself out.. Comeon yell yell loud and swell You gotta Scream scream you know what I mean Put another dime in the record machine.. Hey Play another song like A Runaround Sue Let's do a dance that we all can do.. Turn that jukebox up mighty loud Let's liven up this crazy crowd.. Comeon Shout Shout knock yourself out.. Comeon yell yell loud and swell You gotta Scream scream you know what I mean Put another dime in the record machine.. Every party that I intend Believe now it's the livin end Moving and groovin with some friends of mine.. Saturday night now we're having a time ... So Lets..Shout Shout knock yourself out.. Comeon yell yell loud and swell You gotta Scream scream you know what I mean Put another dime in the record machine.. Hey Doing the fly with our hands in the sky.. Yeah, foot stomping baby just a you and I School was out about a quarter to three And we're having fun it's plain to see.. So Lets..Shout Shout knock yourself out.. Comeon yell yell loud and swell You gotta Scream scream you know what I mean Put another dime in the record machine..",1962,Dion,1961
Emillo Pericoli,Al Di La',"Al di la means you are far above me, very far Al di la, as distant as the lovely evening star Where you walk flowers bloom When you smile all the gloom turns to sunshine And my heart opens wide When you're gone it fades inside and seems to have died Al di la I wondered as I drifted where you were Al di la The fog around me lifted There you were In the kiss that I gave was the love I had saved for a lifetime Then I knew all of you was completely mine",1962,Al Martino,1962
Corsairs,Smoky Places,"Meeting in smokey places, hiding in shadowy corners Dancing where no one knows our faces Sharing love stolen in the night in smokey places  Oh, oh, how I cried on your wedding day Like, like my heart would break How you regret your wedding day Now paying for your bad mistake  Meeting in smokey places, hiding in shadowy corners Oh we are dancing where no one knows our faces Sharing love stolen in the night in smokey places  Some sunny day he will set you free Free to be my life, some sunny day Sweetheart, he'll set you free We'll be, we'll be satisfied  Meeting in smokey places, hiding in shadowy corners We just keep dancing where no one knows our faces Sharing love stolen in the night in smokey places Sharing love stolen in the night in smokey places Sharing love stolen in the night in smokey places",1962,KSHMR,2017
Don and Juan,What's Your Name,"What's your name? I have seen you before What's your name? May I walk you to your door? It's so hard to find a personality with charms like yours for me Ooh-ooh, ooh-ooh, ooh-ee What's your name? Is it Mary or Sue? What's your name? Do I stand a chance with you? It's so hard to find a personality with charms like yours for me Ooh-ee, ooh-ee, ooh-ee I stood on this corner waiting for you to come along So my heart could feel satisf-i-ied So please let me be your Number One Under the moon, under the stars, and under the sun Oh-oh, what's your name? (what's your name?) Is it Mary or Sue? What's your name? Do I stand a chance with you? It's so hard to find a personality with charms like yours for me Ooh-ee, ooh-ee, ooh-ee What's your name? What's your name? Shooby-doo-bop-bah-dah!!",1962,Frankie Lymon,1956
Sam Cooke,Having A Party,"We're having a party Dancing to the music Played by the DJ On the radio The Cokes are in the icebox The popcorn's on the table Me and my baby, we're out here on the floor  So listen, Mr. DJ Keep those records playing Cause I'm having such a good time Dancing with my baby  Everybody's swinging Sally's doing that twist now If you take requests, I.... Got a few for you Play that song called ""Soul Twist"" Play that one called ""I Know"" Don't forget the ""Mashed Potatoes"" No other songs will do  Let me tell you Mr., Mr. DJ Keep those records playing Cause I'm having such a good time Dancing with my baby  Having a party--yeah Everybody's swinging--oh we're Dancing to the music--yeah On the radio--oh we're Having a party--man Everybody's swinging--yeah Dancing to the music--yeah On the radio--say it one more time  We're having a party--yeah Everybody's swinging--oh we're Dancing to the music--yeah On the radio",1962,Aretha Franklin,1964
Booker T and The MG's,Green Onions,Instrumental in four parts:  Steve Cropper – lead guitar Booker T. Jones – Hammond M3 organ Lewie Steinberg – bass guitar Al Jackson Jr. – drums,1962,Otis Redding,1962
Ray Charles,You Don't Know Me,"[Verse 1] You give your hand to me And then you say, ""Hello"" And I can hardly speak My heart is beating so And anyone can tell You think you know me well Well, you don't know me no No you don't know the one Who dreams of you each night And longs to kiss your lips And longs to hold you tight To you I'm just a friend That's all I've ever been No you don't know me  [Chorus 1] I never knew the art of making love Though my heart aches with love for you, yeah Afraid and shy, I let my chance go by A chance that you might love me too  [Chorus 2] You give your hand to me And then you say, ""Goodbye"" And I watched you walk away Beside the lucky guy No you'll never ever know The one who loved you so No you don't know me  [Chorus 1] I never knew the art of making love Though my heart aches with love for you, yeah Afraid and shy, I let my chance go by A chance that you might love me too  [Chorus 2] You give your hand to me And then you say, ""Goodbye"" And I watched you walk away Beside the lucky guy No you'll never ever know The one who loved you so No you don't know me  [Outro] I say you never ever know The one who loved you so No you don't know me No you don't love me",1962,Willie Nelson,1984
Four Seasons,Sherry,"Sherry, Sherry baby Sherry, Sherry baby  Sherry baby (sherry baby) baby (Sherry baby) Sherry can you come out tonight? (Come, come, come out tonight) Sherry baby (Sherry baby) Sherry can you come out tonight?  (Why don't you come out, come out) Come out to my twist party (Come out) Where the bright lights shine (Come out) We'll dance the night away I'm gonna make you mine  Sherry baby (Sherry baby) Sherry can you come out tonight (Come come, come out tonight) (Come come, come out tonight) You'd better ask your mama (Sherry baby) Tell her everything is alright  (Why don't you come out, come out) With your red dress on (Come out) Mmm. you look so fine (Ccome out) Move it nice and easy Girl, you make me lose my mind  Sherry baby (sherry baby) baby (Sherry baby) Sherry can you come out tonight? (Come, come, come out tonight) (Come, come, come out tonight)  Sherry, Sherry baby (Come, come, come out tonight) Sherry, Sherry baby (Come, come, come out tonight) Sherry",1962,Frankie Valli,1962
Joanie Sommers,Johnny Get Angry,"Johnny I said we were through Just to see what you would do You stood there, and hung your head Made me wish that I were dead  Oh, Johnny get angry Johnny get mad Give me the biggest lecture that I ever had I want a brave man, I want a cave man Johnny show me that you care, really care for me  Every time you dance with me You let Freddy cut in constantly When he does, you never speak Must you always be so meek?  Oh Johnny get angry, Johnny get mad Give me the biggest lecture that I ever had I want a brave man, I want a cave man Johnny show me that you care, really care for me  Every girl wants someone who She can always look up to You know I love you, ofcourse Let me know that youre the boss  Oh Johnny get angry, Johnny get mad Give me the biggest lecture that I ever had I want a brave man, I want a cave man Johnny show me that you care, really care for me  Johnny, care for me Johnny Johnny Johnny Johnny...",1962,Frank Sinatra,1961
Joey Dee,Shout,"You know you Make me wanna (Shout)  Come on now, come on now (Shout, shout) Come on now, come on now (Shout, shout)  Alright, alright (Shout, shout) Alright, alright (Shout, shout)  Come on and shout now, hear me shout now (Shout, shout) Gonna shout now, hear me shout now (Shout, shout)  I still remember When you used to be nine years old Hey, hey  I was a fool for you From the bottom of my soul Hey, hey  Now that she's older You're old enough to know Hey, hey  You want to leave You want to let me go Hey, hey  I want you to know Girl, I want you to know right now You've been good to me, baby Better than I've been to myself, hey, hey  And if you ever leave me I don't want nobody else, hey, hey I said I want you to know Girl, I want you to know right now  You know you make me wanna, come on now (Shout, shout) Come on now, come on now (Shout, shout)  Come on now, come on now (Shout, shout) Feel alright now, come on now (Shout, shout)  All us shout now, come on now (Shout, shout) Come on now, hear me shout (Shout, shout)  Hear me shout now, come on and shout (Shout, shout) Hear me shout now",1962,Ray Charles,1962
Elvis Presley,Can't Help Falling In Love,"[Verse 1] Wise men say only fools rush in But I can't help falling in love with you Shall I stay? Would it be a sin? If I can't help falling in love with you  [Chorus] Like a river flows Surely to the sea Darling, so it goes Some things are meant to be  [Verse 2] Take my hand, take my whole life, too For I can't help falling in love with you  [Chorus] Like a river flows Surely to the sea Darling, so it goes Some things are meant to be  [Outro] Take my hand, take my whole life, too For I can't help falling in love with you For I can't help falling in love with you",1962,Frank Sinatra,1960
"Dave ""Baby"" Cortez",Rinky Dink,♫ [Instrumental] ♫,1962,Little Anthony,1962
Henry Mancini,Moon River,Moon River Wider than a mile I'm crossin' you in style Some day Old dream maker You heart breaker Wherever your goin' I'm goin' your way Two drifters Off to see the world There's such a lot of world To see We're after the same Rainbow's end Waitin' round the bend My huckleberry friend Moon River And me,1962,Johnny Mathis,1978
Ray Stevens,Ahab The Arab,"Let me tell you 'bout Ahab The Arab The Sheik of the burning sand He had emeralds and rubies just dripping off 'a him And a ring on every finger of his hands  He wore a big ol' turban wrapped around his head And a scimitar by his side And every evening about midnight He'd jump on his camel named Clyde...and ride  Spoken  Silently through the night to the sultan's tent where he would secretly meet up with Fatima of the Seven Veils, swingingest grade ""A"" number one U.S. choice dancer in the Sultan's whole harem, 'cause, heh, him and her had a thing going. You know, and they'd been carrying on for some time now behind the Sultan's back and you could hear him talk to his camel as he rode out across the dunes, his voice would cut through the still night desert air and he'd say (imitate Arabian speech) which is arabic for, ""stop, Clyde!"" and Clyde would say, (imitate camel voice). Which is camel for, ""What the heck did he say anyway?"" Well....  He brought that camel to a screeching halt At the rear of Fatima's tent jumped off Clyde Snuck around the corner and into the tent he went There he saw Fatima laying on a Zebra skin rug Wearing rings on her fingers and bells on her toes And a bone in her nose ho, ho Spoken  There she was friends lying there in all her radiant beauty. Eating on a raisin, grape, apricot, pomegranate, bowl of chitterlings, two bananas, three Hershey bars, sipping on a ""R C"" Co-Cola listening to her transistor, watching the Grand Ole Opry on the tube reading the Mad magazine while she sung, ""Does your chewing gum lose it's flavor?"" and Ahab walked up to her and he said, (imitate Arabian speech) which is arabic for, ""Let's twist again like we did last summer, baby."" (laughter) You know what I mean! Whew! She looked up at him from off the rug, give him one of the sly looks, she said, (coy, girlish laugh) ""Crazy baby"" 'Round and around and around and around...etc  And that's the story 'bout Ahab the Arab The Sheik of the Burnin' sand Ahab the Arab The swinging Sheik of the burnin' sand",1962,Kenny Rogers,1983
Bobby Darin,Things,Every night I sit here by my window (Window) Staring at the lonely avenue (Avenue) Watching lovers holding hands and laughing (Laughing) And thinking bout the things we used to do  (Thinking of things) Like a walk in the park (Things) Like a kiss in the dark (Things Like a sailboat ride (Yeah yeah) What about the night we cried Things like a lovers vow Things that we don't do now Thinking bout the things we used to do  Memories are all I have to cling to (Cling to) And heartaches are the friends I'm talking to (Talking to) When I'm not thinking of just how much I loved you Well I'm thinking about the things we used to do  (Thinking of things) Like a walk in the park (Things) Like a kiss in the dark (Things) Like a sailboat ride (Yeah yeah) What about the night we cried Things like a lovers vow Things that we don't do now Thinking bout the things we used to do  I still can hear the jukebox softly playing (Playing) And the face I see each day belongs to you (Belong to you) Though there's not a single sound And theres nobody else around Well it's just me thinking of the things we used to do  (Thinking of things) Like a walk in the park (Things) Like a kiss in the dark (Things) Like a sailboat ride (Yeah yeah) What about the night we cried Things like a lovers vow Things that we don't do now Thinking bout the things we used to do  And the heartaches are the friends I'm talking to You got me thinking bout the things we used to do,1962,Johnny Mercer,1961
Gene Pitney,The Man Who Shot Liberty Valance,"When Liberty Valance rode to town The women folk would hide, they'd hide When Liberty Valance walked around The men would step aside  Because the point of a gun Was the only law that Liberty understood When it came to shooting, straight and fast He was mighty good  From out of the east a stranger came A law book in his hand, a man The kind of a man the West would need To tame a troubled land  'Cause the point of a gun Was the only law that Liberty understood When it came to shooting, straight and fast He was mighty good  Many a man would face his gun and many a man would fall The man who shot Liberty Valance He shot Liberty Valance He was the bravest of them all  The love of a girl can make a man Stay on when he should go, stay on Just trying to build a peaceful life Where love is free to grow  But the point of a gun Was the only law that Liberty understood When the final showdown came to pass A law book was no good  Alone and afraid she prayed that he'd Return that fateful night, ah, that night When nothing she said could keep Her man from going out to fight  From the moment a girl gets to be full grown The very first thing she learns When two men go out to face each other Only one returns  Everyone heard two shots ring out The shot made Liberty fall The man who shot Liberty Valance He shot Liberty Valance He was the bravest of them all  The man who shot Liberty Valance He shot Liberty Valance He was the bravest of them all",1962,Marc Almond,1989
Duprees,You Belong To Me,"See the pyramids along the Nile Watch the sun rise on a tropic isle Just remember, darling, all the while You belong to me  See the marketplace in old Algiers Send me photographs and souvenirs But remember when a dream appears You belong to me  I'll be so alone without you Maybe you'll be lonesome too, and blue  Fly the ocean in a silver plane Watch the jungle when its wet with rain Just remember till youre home again You belong to me",1962,Johnny Maestro,2004
Roy Orbison,Dream Baby,"(Roy Orbison)  Sweet dream baby Sweet dream baby Sweet dream baby How long must I dream  Dream baby got me dreamin' sweet dreams the whole day through Dream baby got me dreamin' sweet dreams nighttime too I love you and I'm dreaming of you but that won't do Dream baby, make me stop my dreamin', you can make my dreams come true",1962,Bruce Springsteen,1988
Joe Henderson,Snap Your Fingers,"Snap your fingers, I'll come runnin' Back to you-ou on bended knee Snap your fingers (doo-doo), I'll come runnin' (doo-doo) I'll be true (doo-doo-doo), take a chance on me (doo-doo-doo)  Let your light turn green, baby, I've gotta know Give me some kind of clue, should I stay or go? Let me love you like a lover, un-huh, that you used to know Turn the key and let me in through that same old door  (Wah-wah-wah-wah) I had it but I lost it Now I've got a broken heart to mend I don't care what the cost is I know I got to find my way back in  Snap your fingers, baby, I'll come runnin' I'll do anything to get back again  (Wah-wah-wah-wah) I had it but I lost it Now I've got a broken heart to mend I don't care what the cost is I've got to find my way back in  Snap your fingers (doo-doo-doo) I'll come runnin' (doo-doo-doo) I'll do anything (doo-doo-doo) to get back again",1962,Alice Coltrane,1970
